filename,num_cells,num_characters,num_variables,num_clauses,phi_generation_time,qsampler_time,qsampler_valid_samples,unigen_time,unigen_valid_samples,total_num_solution,percent_qsampler_correct,percent_unigen_correct
m5_n5_s1.txt,5,5,20,1200,0.012043476104736328,0.7777242660522461,25,2.9247026443481445,29,1600,0.015625,0.018125
m5_n5_s10.txt,5,5,17,816,0.010544776916503906,0.8391563892364502,211,2.7926015853881836,242,242,0.871900826446281,1.0
m5_n5_s100.txt,5,5,15,664,0.011384963989257812,2.3339102268218994,10,0.0965580940246582,0,104,0.09615384615384616,0.0
m5_n5_s101.txt,5,5,20,1200,0.01894235610961914,0.48865222930908203,17,2.727912425994873,37,1468,0.011580381471389645,0.025204359673024524
m5_n5_s102.txt,5,5,17,864,0.01238560676574707,7.138692140579224,1,0.04694414138793945,0,170,0.0058823529411764705,0.0
m5_n5_s103.txt,5,5,17,864,0.01300048828125,2.4480230808258057,5,2.9866323471069336,5,236,0.0211864406779661,0.0211864406779661
m5_n5_s104.txt,5,5,20,1200,0.014108419418334961,0.6080296039581299,20,3.2837820053100586,29,1600,0.0125,0.018125
m5_n5_s105.txt,5,5,17,816,0.012308835983276367,0.7473487854003906,21,2.572814702987671,21,788,0.0266497461928934,0.0266497461928934
m5_n5_s106.txt,5,5,15,624,0.013352155685424805,3.9299397468566895,1,0.055481910705566406,0,168,0.005952380952380952,0.0
m5_n5_s107.txt,5,5,17,948,0.015912294387817383,1.407498836517334,66,3.0981907844543457,68,350,0.18857142857142858,0.19428571428571428
m5_n5_s108.txt,5,5,17,816,0.020435094833374023,0.6721553802490234,55,2.6090288162231445,72,514,0.10700389105058365,0.14007782101167315
m5_n5_s109.txt,5,5,13,468,0.01283884048461914,2.304107666015625,68,2.548309564590454,68,74,0.918918918918919,0.918918918918919
m5_n5_s11.txt,5,5,15,692,0.01085519790649414,4.004229784011841,1,0.053537845611572266,0,104,0.009615384615384616,0.0
m5_n5_s110.txt,5,5,11,264,0.009737968444824219,1.0658786296844482,18,2.4162607192993164,18,145,0.12413793103448276,0.12413793103448276
m5_n5_s111.txt,5,5,18,1008,0.01469874382019043,9.972113847732544,1,0.054128170013427734,0,196,0.00510204081632653,0.0
m5_n5_s112.txt,5,5,19,1104,0.014005184173583984,1.492558479309082,7,2.6921138763427734,7,542,0.012915129151291513,0.012915129151291513
m5_n5_s113.txt,5,5,18,1020,0.012582063674926758,1.8926825523376465,15,2.911118268966675,15,424,0.03537735849056604,0.03537735849056604
m5_n5_s114.txt,5,5,18,960,0.010917186737060547,0.6450235843658447,50,2.5617058277130127,50,226,0.22123893805309736,0.22123893805309736
m5_n5_s115.txt,5,5,16,740,0.010556459426879883,2.065497398376465,1,3.3712005615234375,1,294,0.003401360544217687,0.003401360544217687
m5_n5_s116.txt,5,5,15,768,0.010744810104370117,1.5416674613952637,114,2.6669857501983643,114,114,1.0,1.0
m5_n5_s117.txt,5,5,14,564,0.009290933609008789,5.010500192642212,1,0.04158163070678711,0,82,0.012195121951219513,0.0
m5_n5_s118.txt,5,5,14,504,0.0054454803466796875,0.959526777267456,36,2.69160795211792,36,282,0.1276595744680851,0.1276595744680851
m5_n5_s119.txt,5,5,19,1104,0.011446714401245117,0.2741730213165283,45,2.7453551292419434,110,338,0.13313609467455623,0.3254437869822485
m5_n5_s12.txt,5,5,18,960,0.011260271072387695,1.478637456893921,1,3.6672465801239014,1,286,0.0034965034965034965,0.0034965034965034965
m5_n5_s120.txt,5,5,13,468,0.010046005249023438,2.359654664993286,30,3.694143533706665,30,85,0.35294117647058826,0.35294117647058826
m5_n5_s121.txt,5,5,16,740,0.010392904281616211,1.729574203491211,11,3.167651891708374,11,240,0.04583333333333333,0.04583333333333333
m5_n5_s122.txt,5,5,18,960,0.011816263198852539,1.7922067642211914,1,3.6021010875701904,1,326,0.003067484662576687,0.003067484662576687
m5_n5_s123.txt,5,5,16,780,0.009946107864379883,1.9263477325439453,7,2.3837039470672607,7,208,0.03365384615384615,0.03365384615384615
m5_n5_s124.txt,5,5,14,576,0.006040334701538086,2.651557207107544,13,3.5409226417541504,13,104,0.125,0.125
m5_n5_s125.txt,5,5,18,1020,0.013114690780639648,1.513390064239502,1,2.2770330905914307,1,392,0.002551020408163265,0.002551020408163265
m5_n5_s126.txt,5,5,15,716,0.012851238250732422,6.712483167648315,9,0.04757952690124512,0,94,0.09574468085106383,0.0
m5_n5_s127.txt,5,5,16,784,0.01177358627319336,5.359670162200928,5,0.07145452499389648,0,102,0.049019607843137254,0.0
m5_n5_s128.txt,5,5,16,780,0.011745929718017578,9.292924165725708,34,0.07734441757202148,0,94,0.3617021276595745,0.0
m5_n5_s129.txt,5,5,13,504,0.010323762893676758,2.7871968746185303,80,2.573620557785034,80,80,1.0,1.0
m5_n5_s13.txt,5,5,20,1200,0.012220382690429688,0.46410632133483887,8,3.2360124588012695,13,1810,0.004419889502762431,0.0071823204419889505
m5_n5_s130.txt,5,5,16,740,0.01062321662902832,1.5909936428070068,1,3.412813901901245,1,260,0.0038461538461538464,0.0038461538461538464
m5_n5_s131.txt,5,5,20,1200,0.0119171142578125,0.642366886138916,25,3.1441755294799805,29,1600,0.015625,0.018125
m5_n5_s132.txt,5,5,17,816,0.012737512588500977,0.754589319229126,72,2.5035107135772705,72,518,0.138996138996139,0.138996138996139
m5_n5_s133.txt,5,5,14,504,0.005429267883300781,0.9065933227539062,36,2.655930757522583,36,283,0.127208480565371,0.127208480565371
m5_n5_s134.txt,5,5,11,264,0.008957147598266602,1.8138649463653564,18,3.995426654815674,18,194,0.09278350515463918,0.09278350515463918
m5_n5_s135.txt,5,5,14,576,0.010958194732666016,2.6185998916625977,13,3.5595757961273193,13,104,0.125,0.125
m5_n5_s136.txt,5,5,16,756,0.009923219680786133,4.26290225982666,1,0.11798405647277832,0,217,0.004608294930875576,0.0
m5_n5_s137.txt,5,5,8,96,0.0057125091552734375,1.5745513439178467,46,3.7303478717803955,46,46,1.0,1.0
m5_n5_s138.txt,5,5,15,660,0.014254093170166016,7.226431131362915,32,3.476850748062134,32,77,0.4155844155844156,0.4155844155844156
m5_n5_s139.txt,5,5,17,816,0.013463497161865234,0.6468322277069092,68,2.5742716789245605,72,542,0.12546125461254612,0.13284132841328414
m5_n5_s14.txt,5,5,13,516,0.010128974914550781,5.459318161010742,1,0.03975272178649902,0,73,0.0136986301369863,0.0
m5_n5_s140.txt,5,5,14,504,0.010054826736450195,0.9016420841217041,130,2.8798739910125732,130,130,1.0,1.0
m5_n5_s141.txt,5,5,11,264,0.008520364761352539,1.331155776977539,18,2.30889892578125,18,152,0.11842105263157894,0.11842105263157894
m5_n5_s142.txt,5,5,17,924,0.011697053909301758,2.799879789352417,18,2.3609814643859863,18,162,0.1111111111111111,0.1111111111111111
m5_n5_s143.txt,5,5,20,1200,0.012657642364501953,0.5145175457000732,26,3.0987143516540527,29,1600,0.01625,0.018125
m5_n5_s144.txt,5,5,14,504,0.00966334342956543,1.7163479328155518,130,2.9108879566192627,130,130,1.0,1.0
m5_n5_s145.txt,5,5,20,1200,0.011991262435913086,0.40410423278808594,10,3.044830799102783,13,1810,0.0055248618784530384,0.0071823204419889505
m5_n5_s146.txt,5,5,17,816,0.010610580444335938,0.5375573635101318,58,2.505439043045044,72,514,0.11284046692607004,0.14007782101167315
m5_n5_s147.txt,5,5,17,948,0.011744499206542969,1.079660415649414,62,2.7357096672058105,68,350,0.17714285714285713,0.19428571428571428
m5_n5_s148.txt,5,5,16,852,0.011862516403198242,2.867889642715454,32,2.879537582397461,32,146,0.2191780821917808,0.2191780821917808
m5_n5_s149.txt,5,5,17,864,0.011031627655029297,7.609434127807617,26,3.9030163288116455,26,86,0.3023255813953488,0.3023255813953488
m5_n5_s15.txt,5,5,20,1200,0.011078119277954102,0.5666534900665283,11,3.0049803256988525,13,1810,0.0060773480662983425,0.0071823204419889505
m5_n5_s150.txt,5,5,12,408,0.008541584014892578,3.446687698364258,64,2.4394631385803223,64,64,1.0,1.0
m5_n5_s151.txt,5,5,17,816,0.010715723037719727,0.5578761100769043,61,2.5421383380889893,72,514,0.11867704280155641,0.14007782101167315
m5_n5_s152.txt,5,5,18,1020,0.011350631713867188,0.7336997985839844,15,2.655709981918335,15,424,0.03537735849056604,0.03537735849056604
m5_n5_s153.txt,5,5,15,624,0.00993967056274414,1.7533235549926758,26,2.224407434463501,26,146,0.1780821917808219,0.1780821917808219
m5_n5_s154.txt,5,5,17,880,0.012845516204833984,4.1399924755096436,1,0.05092167854309082,0,148,0.006756756756756757,0.0
m5_n5_s155.txt,5,5,20,1200,0.0119171142578125,0.963568925857544,70,2.976473093032837,102,1222,0.057283142389525366,0.08346972176759411
m5_n5_s156.txt,5,5,19,1104,0.011402606964111328,0.5804569721221924,1,2.648639678955078,1,500,0.002,0.002
m5_n5_s157.txt,5,5,16,740,0.010306835174560547,0.7177140712738037,54,3.003131628036499,54,194,0.27835051546391754,0.27835051546391754
m5_n5_s158.txt,5,5,16,740,0.010357141494750977,1.2423992156982422,11,2.8983848094940186,11,240,0.04583333333333333,0.04583333333333333
m5_n5_s159.txt,5,5,17,924,0.01067972183227539,3.687941551208496,1,0.0517277717590332,0,148,0.006756756756756757,0.0
m5_n5_s16.txt,5,5,17,816,0.011223554611206055,0.9583666324615479,21,2.4447948932647705,21,732,0.028688524590163935,0.028688524590163935
m5_n5_s160.txt,5,5,14,576,0.01208353042602539,2.574225902557373,13,3.5599629878997803,13,104,0.125,0.125
m5_n5_s161.txt,5,5,18,960,0.011581659317016602,1.0984015464782715,50,2.719778060913086,50,226,0.22123893805309736,0.22123893805309736
m5_n5_s162.txt,5,5,14,576,0.009529590606689453,2.7394585609436035,13,3.6013333797454834,13,122,0.10655737704918032,0.10655737704918032
m5_n5_s163.txt,5,5,12,408,0.011045217514038086,3.4574828147888184,64,2.378063678741455,64,64,1.0,1.0
m5_n5_s164.txt,5,5,15,660,0.00999760627746582,5.057464122772217,1,0.0484309196472168,0,130,0.007692307692307693,0.0
m5_n5_s165.txt,5,5,20,1200,0.012083292007446289,1.1120336055755615,77,3.0441064834594727,102,1222,0.0630114566284779,0.08346972176759411
m5_n5_s166.txt,5,5,19,1104,0.011687278747558594,1.5908081531524658,1,3.0300536155700684,1,444,0.0022522522522522522,0.0022522522522522522
m5_n5_s167.txt,5,5,16,852,0.010549068450927734,2.6438040733337402,32,2.823490619659424,32,146,0.2191780821917808,0.2191780821917808
m5_n5_s168.txt,5,5,18,1020,0.011010408401489258,2.748305082321167,1,3.4412875175476074,1,314,0.0031847133757961785,0.0031847133757961785
m5_n5_s169.txt,5,5,18,1020,0.013326883316040039,1.2034878730773926,15,2.593689203262329,15,424,0.03537735849056604,0.03537735849056604
m5_n5_s17.txt,5,5,14,576,0.011224031448364258,5.173662424087524,44,3.780322551727295,44,72,0.6111111111111112,0.6111111111111112
m5_n5_s170.txt,5,5,17,948,0.010721445083618164,1.7127206325531006,1,2.5006728172302246,1,286,0.0034965034965034965,0.0034965034965034965
m5_n5_s171.txt,5,5,11,320,0.00482177734375,3.6360363960266113,1,0.03962540626525879,0,60,0.016666666666666666,0.0
m5_n5_s172.txt,5,5,16,756,0.010818958282470703,5.78287148475647,1,0.04154157638549805,0,232,0.004310344827586207,0.0
m5_n5_s173.txt,5,5,17,816,0.011618852615356445,0.6998915672302246,67,2.59788179397583,72,514,0.1303501945525292,0.14007782101167315
m5_n5_s174.txt,5,5,18,960,0.01238560676574707,1.4793932437896729,1,3.623678684234619,1,286,0.0034965034965034965,0.0034965034965034965
m5_n5_s175.txt,5,5,18,1008,0.011285066604614258,3.397346258163452,1,0.05119729042053223,0,170,0.0058823529411764705,0.0
m5_n5_s176.txt,5,5,18,1008,0.011243820190429688,6.095384120941162,0,0.045592308044433594,0,205,0.0,0.0
m5_n5_s177.txt,5,5,14,576,0.010105133056640625,3.1852598190307617,13,3.56571626663208,13,104,0.125,0.125
