filename,rows,columns,time,clauses
m9_n6_s10.txt,9,6,0.06689786911010742,5408
m13_n5_s3.txt,13,5,0.17002296447753906,27904
m12_n15_s10.txt,12,15,1.2288439273834229,189596
m9_n19_s1.txt,9,19,0.7546212673187256,106200
m16_n7_s9.txt,16,7,0.6540548801422119,102528
m20_n10_s7.txt,20,10,3.1767868995666504,568624
m8_n18_s5.txt,8,18,0.4722471237182617,74416
m17_n8_s7.txt,17,8,1.0438721179962158,165072
m15_n20_s5.txt,15,20,4.417994976043701,653928
m17_n6_s2.txt,17,6,0.5813307762145996,94008
m8_n11_s9.txt,8,11,0.20145821571350098,33344
m11_n12_s9.txt,11,12,0.5979132652282715,86760
m16_n11_s3.txt,16,11,1.7988390922546387,258912
m10_n14_s4.txt,10,14,0.592310905456543,80036
m5_n14_s6.txt,5,14,0.0654149055480957,8976
m9_n17_s4.txt,9,17,0.5837130546569824,70596
m17_n10_s7.txt,17,10,1.8559839725494385,282324
m20_n5_s5.txt,20,5,0.674807071685791,101028
m18_n7_s2.txt,18,7,1.0358431339263916,152852
m15_n18_s1.txt,15,18,4.676331996917725,770516
m14_n19_s5.txt,14,19,3.422675132751465,480240
m14_n10_s9.txt,14,10,1.0366520881652832,168084
m19_n6_s9.txt,19,6,1.017179012298584,169900
m6_n14_s8.txt,6,14,0.10235095024108887,14940
m13_n13_s3.txt,13,13,1.2641558647155762,190944
m6_n13_s1.txt,6,13,0.09041905403137207,13360
m18_n14_s2.txt,18,14,4.657020092010498,736864
m8_n20_s1.txt,8,20,0.5722088813781738,82224
m12_n12_s7.txt,12,12,0.9863181114196777,167076
m7_n12_s5.txt,7,12,0.15984296798706055,26420
m14_n20_s10.txt,14,20,3.908069133758545,544824
m15_n16_s4.txt,15,16,3.1899869441986084,485736
m18_n9_s7.txt,18,9,2.017591953277588,297536
m19_n15_s6.txt,19,15,11.009707927703857,936988
m15_n9_s4.txt,15,9,1.2429261207580566,159876
m15_n7_s1.txt,15,7,0.7336940765380859,106740
m5_n5_s3.txt,5,5,0.009541749954223633,864
m19_n19_s6.txt,19,19,10.59095811843872,1420280
m18_n5_s7.txt,18,5,0.4303557872772217,53096
m11_n6_s5.txt,11,6,0.15147995948791504,22296
m6_n18_s8.txt,6,18,0.16567111015319824,24708
m8_n7_s5.txt,8,7,0.07180595397949219,11376
m18_n18_s2.txt,18,18,8.047089099884033,1292712
