filename,m,n,num_cell_clusters,num_mutation_clusters,num_variables,num_clauses,formula_gen_time,unigen_time,num_samples
m5_n12_s5_k1_loss0.1_a0.001_b0.01.B,5,12,4,10,732,203897,1.3543505668640137,17.779110193252563,-1
m5_n14_s5_k1_loss0.1_a0.001_b0.01.B,5,14,4,12,934,280747,1.913236141204834,17.052656412124634,-1
m5_n6_s1_k1_loss0.2_a0.001_b0.01.B,5,6,4,5,246,46812,0.329512357711792,18.181236028671265,108
m5_n13_s3_k1_loss0.2_a0.001_b0.01.B,5,13,4,11,829,240795,1.6017000675201416,13.144724369049072,-1
m5_n6_s1_k1_loss0.1_a0.001_b0.01.B,5,6,4,5,246,46812,0.33478665351867676,17.81819725036621,107
m5_n5_s4_k1_loss0.1_a0.001_b0.01.B,5,5,4,4,192,31358,0.2167952060699463,8.676221132278442,108
m5_n7_s5_k1_loss0.2_a0.001_b0.01.B,5,7,4,6,308,65328,0.3792591094970703,30.849284887313843,108
m5_n5_s1_k1_loss0.2_a0.001_b0.01.B,5,5,4,4,192,31358,0.20544791221618652,14.537683010101318,108
m5_n9_s1_k1_loss0.2_a0.001_b0.01.B,5,9,4,8,446,111546,0.768984317779541,48.586092472076416,108
m5_n5_s5_k1_loss0.1_a0.001_b0.01.B,5,5,4,4,192,31358,0.20043706893920898,6.535179376602173,104
m5_n12_s2_k1_loss0.1_a0.001_b0.01.B,5,12,4,10,731,203901,1.4622623920440674,169.75640726089478,108
m5_n15_s3_k1_loss0.2_a0.001_b0.01.B,5,15,4,12,1057,323803,2.5041115283966064,17.355576753616333,-1
m5_n6_s5_k1_loss0.2_a0.001_b0.01.B,5,6,4,5,247,46812,0.33670783042907715,20.05712580680847,108
m5_n8_s2_k1_loss0.1_a0.001_b0.01.B,5,8,4,7,373,86906,0.6111125946044922,29.64610481262207,108
m5_n13_s5_k1_loss0.2_a0.001_b0.01.B,5,13,4,11,829,240795,1.641099214553833,12.098634004592896,-1
m5_n9_s4_k1_loss0.1_a0.001_b0.01.B,5,9,4,8,446,111546,0.7985615730285645,41.788482666015625,108
m5_n10_s5_k1_loss0.2_a0.001_b0.01.B,5,10,4,8,555,139297,0.8645179271697998,51.025262117385864,108
m5_n10_s2_k1_loss0.2_a0.001_b0.01.B,5,10,4,8,556,139297,0.8625118732452393,176.36782097816467,108
m5_n13_s2_k1_loss0.2_a0.001_b0.01.B,5,13,4,11,832,240793,1.6378049850463867,14.446500539779663,-1
m5_n6_s3_k1_loss0.1_a0.001_b0.01.B,5,6,4,5,247,46812,0.30350613594055176,16.94859027862549,108
m5_n10_s5_k1_loss0.1_a0.001_b0.01.B,5,10,4,8,555,139297,0.712425947189331,55.66729497909546,108
m5_n6_s3_k1_loss0.2_a0.001_b0.01.B,5,6,4,5,247,46812,0.3173034191131592,16.525094747543335,107
m5_n10_s4_k1_loss0.2_a0.001_b0.01.B,5,10,4,8,551,139299,0.933384895324707,36.749229192733765,108
m5_n10_s4_k1_loss0.1_a0.001_b0.01.B,5,10,4,8,551,139299,0.9368882179260254,38.125632762908936,108
m5_n7_s4_k1_loss0.1_a0.001_b0.01.B,5,7,4,6,308,65328,0.39134693145751953,17.625009059906006,107
m5_n7_s1_k1_loss0.2_a0.001_b0.01.B,5,7,4,6,308,65328,0.470045804977417,26.863637924194336,108
m5_n7_s3_k1_loss0.2_a0.001_b0.01.B,5,7,4,6,309,65328,0.4228053092956543,28.761860370635986,108
m5_n7_s4_k1_loss0.2_a0.001_b0.01.B,5,7,4,6,308,65328,0.4614906311035156,18.224384546279907,108
