filename,num_cells,num_characters,num_variables,num_clauses,phi_generation_time,qsampler_time,qsampler_valid_samples,unigen_time,unigen_valid_samples,total_num_solution,percent_qsampler_correct,percent_unigen_correct
m5_n5_s1.txt,5,5,20,1200,0.011873960494995117,0.7146396636962891,27,3.319539785385132,29,1600,0.016875,0.018125
m5_n5_s10.txt,5,5,17,816,0.011471033096313477,1.191152572631836,228,2.741943120956421,242,242,0.9421487603305785,1.0
m5_n5_s100.txt,5,5,15,664,0.010866641998291016,3.3020377159118652,10,0.04933595657348633,0,104,0.09615384615384616,0.0
m5_n5_s101.txt,5,5,20,1200,0.011333227157592773,0.9790754318237305,28,2.3575150966644287,37,1468,0.01907356948228883,0.025204359673024524
m5_n5_s102.txt,5,5,17,864,0.012111425399780273,6.213099956512451,1,0.04587101936340332,0,170,0.0058823529411764705,0.0
m5_n5_s103.txt,5,5,17,864,0.011303186416625977,2.6752312183380127,5,2.816218137741089,5,236,0.0211864406779661,0.0211864406779661
m5_n5_s104.txt,5,5,20,1200,0.0107421875,0.45203399658203125,20,3.0248241424560547,29,1600,0.0125,0.018125
m5_n5_s105.txt,5,5,17,816,0.011442899703979492,0.7430408000946045,21,2.400737762451172,21,788,0.0266497461928934,0.0266497461928934
m5_n5_s106.txt,5,5,15,624,0.010480165481567383,3.113184690475464,1,0.04725170135498047,0,168,0.005952380952380952,0.0
m5_n5_s107.txt,5,5,17,948,0.012304544448852539,1.6765773296356201,68,2.6893246173858643,68,350,0.19428571428571428,0.19428571428571428
