file,num_variables,num_solutions
data/5x5/m5_n5_s49.txt,15,150
data/5x5/m5_n5_s5.txt,17,886
data/5x5/m5_n5_s50.txt,17,144
data/5x5/m5_n5_s51.txt,16,300
data/5x5/m5_n5_s52.txt,20,466
data/5x5/m5_n5_s53.txt,15,84
data/5x5/m5_n5_s54.txt,19,464
data/5x5/m5_n5_s55.txt,15,107
data/5x5/m5_n5_s56.txt,14,283
data/5x5/m5_n5_s57.txt,14,249
data/5x5/m5_n5_s58.txt,13,80
data/5x5/m5_n5_s59.txt,14,130
data/5x5/m5_n5_s6.txt,18,299
data/5x5/m5_n5_s60.txt,18,424
data/5x5/m5_n5_s61.txt,17,350
data/5x5/m5_n5_s62.txt,16,146
data/5x5/m5_n5_s63.txt,18,384
data/5x5/m5_n5_s64.txt,14,104
data/5x5/m5_n5_s65.txt,17,596
data/5x5/m5_n5_s66.txt,18,192
data/5x5/m5_n5_s67.txt,14,130
data/5x5/m5_n5_s68.txt,8,46
data/5x5/m5_n5_s69.txt,17,242
data/5x5/m5_n5_s7.txt,18,358
data/5x5/m5_n5_s70.txt,19,290
data/5x5/m5_n5_s71.txt,16,101
data/5x5/m5_n5_s72.txt,12,64
data/5x5/m5_n5_s73.txt,11,64
data/5x5/m5_n5_s74.txt,14,72
data/5x5/m5_n5_s75.txt,18,376
data/5x5/m5_n5_s76.txt,15,208
data/5x5/m5_n5_s77.txt,20,1600
data/5x5/m5_n5_s78.txt,8,46
data/5x5/m5_n5_s79.txt,17,162
data/5x5/m5_n5_s8.txt,15,82
data/5x5/m5_n5_s80.txt,15,86
data/5x5/m5_n5_s81.txt,16,272
data/5x5/m5_n5_s82.txt,17,146
data/5x5/m5_n5_s83.txt,18,424
data/5x5/m5_n5_s84.txt,18,286
data/5x5/m5_n5_s85.txt,17,129
data/5x5/m5_n5_s86.txt,14,130
data/5x5/m5_n5_s87.txt,16,226
data/5x5/m5_n5_s88.txt,12,103
data/5x5/m5_n5_s89.txt,11,68
data/5x5/m5_n5_s9.txt,17,242
data/5x5/m5_n5_s90.txt,14,122
data/5x5/m5_n5_s91.txt,17,518
data/5x5/m5_n5_s92.txt,19,542
data/5x5/m5_n5_s93.txt,17,886
data/5x5/m5_n5_s94.txt,13,80
data/5x5/m5_n5_s95.txt,17,274
data/5x5/m5_n5_s96.txt,15,174
data/5x5/m5_n5_s97.txt,18,358
data/5x5/m5_n5_s98.txt,18,296
data/5x5/m5_n5_s99.txt,20,466
